fix_virtual_receipts_insert_policy.sql	"Trusted partners can insert virtual receipts"	public.virtual_receipts
full_reinstate.sql	"Admins can view all payments"	payments
full_reinstate.sql	"Admins can view all payments"	public.payments
full_reinstate.sql	"Authenticated users can insert notifications"	notifications
full_reinstate.sql	"Business owners can delete their bills"	storage.objects
full_reinstate.sql	"Business owners can delete their logos"	storage.objects
full_reinstate.sql	"Business owners can delete their own bills"	business_bills
full_reinstate.sql	"Business owners can delete their own logos"	business_logos
full_reinstate.sql	"Business owners can insert their own bills"	business_bills
full_reinstate.sql	"Business owners can insert their own logos"	business_logos
full_reinstate.sql	"Business owners can manage their calibration receipts"	calibration_receipts
full_reinstate.sql	"Business owners can manage their discounts"	trusted_partner_discounts
full_reinstate.sql	"Business owners can update their bills"	storage.objects
full_reinstate.sql	"Business owners can update their logos"	storage.objects
full_reinstate.sql	"Business owners can update their own bills"	business_bills
full_reinstate.sql	"Business owners can update their own logos"	business_logos
full_reinstate.sql	"Business owners can upload their bills"	storage.objects
full_reinstate.sql	"Business owners can upload their logos"	storage.objects
full_reinstate.sql	"Business owners can view their bills"	storage.objects
full_reinstate.sql	"Business owners can view their logos"	storage.objects
full_reinstate.sql	"Business owners can view their own bills"	business_bills
full_reinstate.sql	"Business owners can view their own logos"	business_logos
full_reinstate.sql	"Members can delete their own discounts"	public.trusted_partner_discounts
full_reinstate.sql	"Members can insert own trusted partner record"	public.trusted_partners
full_reinstate.sql	"Members can insert their own authorizations"	deal_authorizations
full_reinstate.sql	"Members can insert their own discounts"	public.trusted_partner_discounts
full_reinstate.sql	"Members can insert their own processed bills"	public.processed_bills
full_reinstate.sql	"Members can insert their own receipts"	member_receipts
full_reinstate.sql	"Members can update own trusted partner record"	public.trusted_partners
full_reinstate.sql	"Members can update their own discounts"	public.trusted_partner_discounts
full_reinstate.sql	"Members can update their own processed bills"	public.processed_bills
full_reinstate.sql	"Members can update their own receipts"	member_receipts
full_reinstate.sql	"Members can view active calibration receipts"	calibration_receipts
full_reinstate.sql	"Members can view active discounts from all trusted partners"	public.trusted_partner_discounts
full_reinstate.sql	"Members can view own trusted partner record"	public.merchants
full_reinstate.sql	"Members can view own trusted partner record"	public.trusted_partners
full_reinstate.sql	"Members can view their own authorizations"	deal_authorizations
full_reinstate.sql	"Members can view their own discounts"	public.trusted_partner_discounts
full_reinstate.sql	"Members can view their own processed bills"	public.processed_bills
full_reinstate.sql	"Members can view their own receipts"	member_receipts
full_reinstate.sql	"Members can view their own virtual receipts"	virtual_receipts
full_reinstate.sql	"Partners can insert approvals for their bills"	bill_approvals
full_reinstate.sql	"Partners can update their own approvals"	bill_approvals
full_reinstate.sql	"Partners can view their own approvals"	bill_approvals
full_reinstate.sql	"Service role can insert profiles"	public.profiles
full_reinstate.sql	"Service role can manage all businesses"	public.businesses
full_reinstate.sql	"Service role can manage all calibration receipts"	calibration_receipts
full_reinstate.sql	"Service role can manage memberships"	public.memberships
full_reinstate.sql	"Service role can manage payment schedules"	public.payment_schedules
full_reinstate.sql	"Service role can manage payments"	payments
full_reinstate.sql	"Service role can manage payments"	public.payments
full_reinstate.sql	"Service role can manage profiles"	public.profiles
full_reinstate.sql	"Service role can manage renewals"	public.subscription_renewals
full_reinstate.sql	"Trusted partners can update authorizations for their business"	deal_authorizations
full_reinstate.sql	"Trusted partners can update own business"	public.businesses
